"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15085","Should log in successfully with valid email and password","","Mon Sep 02 10:43:32 UTC 2024","passed","Mon Sep 02 10:43:47 UTC 2024","","Login functionality","",""
"","5690","Should show error messages for invalid email and password","","Mon Sep 02 10:43:41 UTC 2024","passed","Mon Sep 02 10:43:47 UTC 2024","","Login functionality","",""
"","3573","Should display 'You found me!!!' after swiping down","","Mon Sep 02 10:43:47 UTC 2024","passed","Mon Sep 02 10:43:50 UTC 2024","","Swipe functionality","",""
"","54775","Should successfully drag and drop the image and verify the success message with a retry option","","Mon Sep 02 10:43:30 UTC 2024","passed","Mon Sep 02 10:44:25 UTC 2024","","Drag and drop testing","",""
"","17261","Verify elements visibility on the login page","","Mon Sep 02 10:43:29 UTC 2024","passed","Mon Sep 02 10:43:47 UTC 2024","","Login functionality","",""
